keyword,group,target_page,estimated_current_position,target_position_30d,target_position_90d,search_volume,competition,priority
custom software development Pakistan,Development Services,services.html,Not Ranking,51-100,21-50,720,High,High
web development company Pakistan,Development Services,service-details.html#web-mobile,Not Ranking,51-100,21-50,1600,High,High
mobile app development Pakistan,Development Services,service-details.html#web-mobile,Not Ranking,51-100,21-50,1900,High,High
full stack development company Pakistan,Development Services,service-details.html#web-mobile,Not Ranking,21-50,11-20,170,Medium,High
hire software developers Pakistan,Development Services,contact.html,Not Ranking,21-50,11-20,390,Medium,High
Python development company Pakistan,Development Services,/services/python-development,Not Ranking,1-10,1-5,110,Low,High
PHP development company Pakistan,Development Services,/services/php-development,Not Ranking,1-10,1-5,90,Low,High
backend development company Pakistan,Development Services,service-details.html#web-mobile,Not Ranking,1-10,1-5,90,Low,High
outsource software development Pakistan,Development Services,services.html,Not Ranking,21-50,11-20,260,Medium,High
IT services company Pakistan,Development Services,services.html,Not Ranking,21-50,11-20,260,Medium,High
software house Karachi,Geographic/Regional,index.html,Not Ranking,21-50,11-20,390,Medium,High
software development Lahore,Geographic/Regional,index.html,Not Ranking,21-50,11-20,480,Medium,High
IT company Riyadh,Geographic/Regional,about.html,Not Ranking,21-50,11-20,320,Medium,High
software company Saudi Arabia,Geographic/Regional,about.html,Not Ranking,51-100,21-50,880,High,Medium
software outsourcing Saudi Arabia,Geographic/Regional,services.html,Not Ranking,21-50,11-20,170,Medium,High
software company UAE,Geographic/Regional,about.html,Not Ranking,51-100,21-50,1300,High,Medium
software development UAE,Geographic/Regional,about.html,Not Ranking,51-100,21-50,1600,High,Medium
software house Islamabad,Geographic/Regional,index.html,Not Ranking,21-50,11-20,260,Medium,Medium
